dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
FiftyWords,0.7626373626373626,0.7604395604395604,0.7516483516483516,0.7626373626373626,0.7406593406593407,0.7428571428571429,0.756043956043956,0.7384615384615385,0.7318681318681318,0.7582417582417582,0.7296703296703296,0.7516483516483516,0.7428571428571429,0.7384615384615385,0.6967032967032967,0.7582417582417582,0.7648351648351648,0.7230769230769231,0.756043956043956,0.7670329670329671,0.7362637362637363,0.7406593406593407,0.7604395604395604,0.7362637362637363,0.7428571428571429,0.7494505494505495,0.7670329670329671,0.7648351648351648,0.7604395604395604,0.7538461538461538
FingerMovements,0.59,0.51,0.57,0.61,0.62,0.54,0.56,0.58,0.7,0.69,0.6,0.6,0.59,0.6,0.6,0.65,0.55,0.56,0.53,0.59,0.57,0.51,0.57,0.63,0.53,0.52,0.64,0.55,0.63,0.64
Fish,0.9485714285714286,0.96,0.96,0.9428571428571428,0.96,0.9257142857142856,0.9542857142857144,0.9657142857142856,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.9542857142857144,0.9657142857142856,0.9428571428571428,0.9314285714285714,0.9428571428571428,0.9542857142857144,0.9314285714285714,0.96,0.96,0.9542857142857144,0.96,0.9542857142857144,0.9657142857142856,0.9542857142857144,0.9485714285714286,0.9542857142857144,0.9428571428571428,0.9542857142857144,0.96
FordA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FordB,0.8469135802469135,0.9543209876543208,0.9382716049382716,0.9543209876543208,0.9493827160493828,0.9444444444444444,0.945679012345679,0.9580246913580248,0.9592592592592591,0.9518518518518518,0.9358024691358025,0.9518518518518518,0.9518518518518518,0.9493827160493828,0.9493827160493828,0.9543209876543208,0.9493827160493828,0.937037037037037,0.9592592592592591,0.9493827160493828,0.9493827160493828,0.9543209876543208,0.9407407407407408,0.9580246913580248,0.945679012345679,0.9407407407407408,0.9518518518518518,0.9506172839506172,0.9419753086419752,0.945679012345679
FreezerRegularTrain,0.9975438596491228,0.9989473684210526,0.9982456140350876,0.9950877192982456,0.9982456140350876,0.9982456140350876,0.9971929824561404,0.9978947368421052,0.9982456140350876,0.9989473684210526,0.9982456140350876,0.9971929824561404,0.9982456140350876,0.9964912280701754,0.99859649122807,0.9964912280701754,0.9978947368421052,0.9978947368421052,0.9989473684210526,0.9989473684210526,0.9975438596491228,0.9975438596491228,0.99859649122807,0.9982456140350876,0.9989473684210526,0.9971929824561404,0.9982456140350876,0.9982456140350876,0.9975438596491228,0.9971929824561404
FreezerSmallTrain,0.8621052631578947,0.9621052631578948,0.9473684210526316,0.9750877192982456,0.9298245614035088,0.9150877192982456,0.9378947368421052,0.92,0.9866666666666668,0.9449122807017544,0.94,0.9435087719298244,0.9519298245614036,0.9894736842105264,0.8508771929824561,0.9694736842105264,0.9792982456140352,0.9663157894736842,0.9621052631578948,0.955438596491228,0.9649122807017544,0.9736842105263158,0.8821052631578947,0.9673684210526317,0.9273684210526316,0.9912280701754386,0.9624561403508772,0.9438596491228072,0.9582456140350876,0.9329824561403508
Fungi,0.7688172043010753,0.6666666666666666,0.7365591397849462,0.6612903225806451,0.7204301075268817,0.8118279569892473,0.6505376344086021,0.6236559139784946,0.6881720430107527,0.6236559139784946,0.7204301075268817,0.6720430107526881,0.7096774193548387,0.6397849462365591,0.6612903225806451,0.7580645161290323,0.6935483870967742,0.6720430107526881,0.5913978494623656,0.5752688172043011,0.6075268817204301,0.8118279569892473,0.6774193548387096,0.6075268817204301,0.6774193548387096,0.7043010752688172,0.5913978494623656,0.7903225806451613,0.6451612903225806,0.6935483870967742
GunPoint,0.9933333333333332,0.9866666666666668,0.96,0.98,0.9866666666666668,0.9666666666666668,0.9933333333333332,0.9866666666666668,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.9733333333333334,0.9666666666666668,0.9866666666666668,1.0,0.9866666666666668,0.9933333333333332,0.9933333333333332,0.9533333333333334,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.98,0.98,0.9866666666666668,0.96,0.9866666666666668,0.98,0.9866666666666668,0.9933333333333332
GunPointAgeSpan,0.9936708860759492,0.9968354430379748,0.990506329113924,1.0,0.9936708860759492,0.9936708860759492,0.9968354430379748,0.990506329113924,0.9873417721518988,0.9968354430379748,0.9936708860759492,0.990506329113924,0.9936708860759492,0.990506329113924,0.9936708860759492,1.0,0.9968354430379748,1.0,0.9968354430379748,0.9968354430379748,0.9841772151898734,0.990506329113924,0.9620253164556962,0.9873417721518988,1.0,0.9968354430379748,0.990506329113924,0.9873417721518988,0.9936708860759492,0.9968354430379748
